X1,X2,X3,X4,X5,X6,X7,X8,Outcome
0.12,-0.99,0.12,-0.99,0.66,-0.75,0.66,-0.75,0
1.66,1.11,1.66,1.11,-1.37,-1.46,-1.37,-1.46,1
1.94,0.49,1.94,0.49,0.99,-1.74,0.99,-1.74,1
-0.61,0.79,-0.61,0.79,-0.73,0.68,-0.73,0.68,0
-1.07,-1.69,-1.07,-1.69,-1.86,0.72,-1.86,0.72,1
1.27,1.55,1.27,1.55,1.94,-0.48,1.94,-0.48,1
-0.83,-1.82,-0.83,-1.82,2.00,0.04,2.00,0.04,1
-1.82,0.84,-1.82,0.84,1.77,0.93,1.77,0.93,1
0.09,1.00,0.09,1.00,0.85,0.52,0.85,0.52,0
0.54,-0.84,0.54,-0.84,0.18,-0.98,0.18,-0.98,0
1.90,-0.64,1.90,-0.64,-1.42,-1.40,-1.42,-1.40,1
-1.44,1.39,-1.44,1.39,-0.93,1.77,-0.93,1.77,1
1.88,-0.69,1.88,-0.69,1.38,1.45,1.38,1.45,1
-0.29,1.98,-0.29,1.98,-1.88,-0.69,-1.88,-0.69,1
-0.30,0.95,-0.30,0.95,1.00,0.09,1.00,0.09,0
-1.52,1.30,-1.52,1.30,1.96,0.40,1.96,0.40,1
0.68,-0.73,0.68,-0.73,-0.62,-0.79,-0.62,-0.79,0
0.69,0.73,0.69,0.73,0.69,0.72,0.69,0.72,0
0.63,-0.78,0.63,-0.78,-1.00,-0.05,-1.00,-0.05,0
1.08,1.68,1.08,1.68,-1.97,-0.35,-1.97,-0.35,1
-0.59,-0.81,-0.59,-0.81,0.30,-0.96,0.30,-0.96,0
0.70,-0.71,0.70,-0.71,-0.88,-0.48,-0.88,-0.48,0
-0.21,-1.99,-0.21,-1.99,-0.89,1.79,-0.89,1.79,1
-0.71,1.87,-0.71,1.87,-1.83,-0.81,-1.83,-0.81,1
-0.98,-0.22,-0.98,-0.22,-0.76,0.65,-0.76,0.65,0
2.00,0.09,2.00,0.09,-0.94,-1.77,-0.94,-1.77,1
-1.98,0.27,-1.98,0.27,1.54,-1.28,1.54,-1.28,1
0.91,0.42,0.91,0.42,0.17,-0.98,0.17,-0.98,0
0.45,-0.89,0.45,-0.89,-0.27,-0.96,-0.27,-0.96,0
1.37,-1.46,1.37,-1.46,0.22,1.99,0.22,1.99,1
0.03,-1.00,0.03,-1.00,0.65,-0.76,0.65,-0.76,0
-0.09,2.00,-0.09,2.00,-0.02,-2.00,-0.02,-2.00,1
-1.77,0.93,-1.77,0.93,-0.57,1.92,-0.57,1.92,1
0.22,0.98,0.22,0.98,-0.25,-0.97,-0.25,-0.97,0
-1.99,-0.21,-1.99,-0.21,-0.12,2.00,-0.12,2.00,1
-1.65,-1.12,-1.65,-1.12,0.31,1.98,0.31,1.98,1
-0.82,0.57,-0.82,0.57,-0.49,0.87,-0.49,0.87,0
1.48,1.34,1.48,1.34,-1.86,-0.75,-1.86,-0.75,1
-1.87,0.72,-1.87,0.72,-1.47,1.36,-1.47,1.36,1
